Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
00:00.0,14401,14480,13750,13964.05,2823.255175,00:00.0,39816242.83,27865,1317.970622,18591763.23,0
00:00.0,13980,14349.99,13855,13979,2736.517887,00:00.0,38607685.29,29179,1270.813639,17922787.56,0
00:00.0,13978.95,14128.3,13131.31,13919.08,4921.021789,00:00.0,67060813.17,38528,2388.4794,32582761.55,0
00:00.0,13919.09,14490,13500,14399.95,3221.049657,00:00.0,44789331.89,27542,1720.544917,23925163.26,0
00:00.0,14399.95,14735.43,14172.95,14349.98,2238.172719,00:00.0,32397512.24,22118,1063.823933,15403366.07,0
00:00.0,14349.98,14955.66,14240,14907.09,1470.984428,00:00.0,21339781.34,16244,767.922164,11144298.14,0
00:00.0,14940,14968.68,12613,12920,4980.407597,00:00.0,68256381.9,34703,2248.878646,30882716.47,0
00:00.0,12911.92,13631.98,11400,13530.42,12868.42584,00:00.0,165873941.4,70126,6497.332361,84067628.6,0
00:00.0,13530.42,13896.7,13041,13385.1,3680.231771,00:00.0,49614578.92,30936,1797.328168,24219596.53,0
00:00.0,13385.1,14400,13282.13,13958.08,4441.493462,00:00.0,61633108.38,39597,2197.115726,30467229.28,0
00:00.0,13950.05,14190,13205.58,13430.16,2789.52886,00:00.0,38399667.92,26281,1377.465529,18963802.24,0
00:00.0,13400,13655.92,12511,13238.78,4794.636219,00:00.0,62809916.15,37773,2303.89955,30161264.27,0
00:00.0,13238.76,13855,12500,13850,4171.703479,00:00.0,55125602.97,28755,2054.887023,27160713.9,0
00:00.0,13854.95,13966.63,13354.1,13722.04,2879.468236,00:00.0,39480638.08,26169,1297.675183,17777838.2,0
00:00.0,13722.04,14109.78,13301.99,13900.02,2432.973815,00:00.0,33439906.8,20334,1298.033812,17850167.49,0
00:00.0,13900.02,14059.48,13358.99,13411.79,2641.69364,00:00.0,36339502.85,24210,1330.730247,18311980.64,0
00:00.0,13411.79,13801.01,13222,13717,2835.853077,00:00.0,38145439.76,21366,1422.411746,19133876.68,0
